Property,Time,Value
Neck Tilt Left-Right,0.53333340,0.00000043
Neck Turn Left-Right,0.00000000,0.00000021
Neck Turn Left-Right,0.01666667,0.00320345
Neck Turn Left-Right,0.03333334,0.00598639
Neck Turn Left-Right,0.05000000,0.00794169
Neck Turn Left-Right,0.06666667,0.00900649
Neck Turn Left-Right,0.10000000,0.00769035
Neck Turn Left-Right,0.11666670,0.00721016
Neck Turn Left-Right,0.15000000,0.00574520
Neck Turn Left-Right,0.16666670,0.00449038
Neck Turn Left-Right,0.18333330,0.00227853
Neck Turn Left-Right,0.20000000,0.00036633
Neck Turn Left-Right,0.21666670,-0.00004854
Neck Turn Left-Right,0.23333330,0.00036616
Neck Turn Left-Right,0.25000000,0.00145145
Neck Turn Left-Right,0.26666670,0.00301693
Neck Turn Left-Right,0.28333340,0.00509906
